Title,Artist,Year,Popularity,Duration (s),Tempo (bpm)
A New Sky,The Presets,2008,0.706984121,273.71057,122.956
All I Hate Is You,Phillip Boa And The Voodooclub,1989,0.377531645,161.69751,130.895
As the Stars Fall,The Cinematic Orchestra,2007,nan,477.98812,84.066
A Ceux Qui Sont Malades Par Mer Calme,Yann Tiersen,2005,0.723790176,210.02404,128.005
Adeus... E Nem Voltei,Madredeus,1988,0.407233015,350.53669,86.417
Anything,The Calling,2004,0.737861996,245.57669,126.021
Are You Lonesome Tonight?,Barry Manilow,2006,0.360370583,176.61342,84.069
American Sheets On The Deathbed,ZAO,2006,0.531984609,167.36608,201.996
Arkansas Blues,James P. Johnson,1995,nan,216.63302,167.314
Alexander,Charlotte Hatherley,2009,0.659197595,248.18893,138.89
Africa Unite,Bob Marley & The Wailers,2007,nan,178.96444,84.994
Anonymous Skulls,Medeski_ Martin & Wood,2004,0.678728981,264.51546,118.388
Are You Lonely,Ras Shiloh,2007,0.377531645,218.72281,164.918
Ain't No Cure For Love,Leonard Cohen,1988,nan,376.92036,102.193
Authentique,Lady Laistee,1999,nan,135.47057,44.272
Are You Drinkin' With Me Jesus,Mojo Nixon,1997,0.503381236,190.45832,122.919
Always Think Twice,Julian Lennon,1986,0.472575558,238.70649,107.564
Annoy,The wee djs,2006,0,285.04771,207.125
Australia (LP Version),Todd Barry,2004,0.419674279,233.03791,128.547
Airplane Rider,Air Miami,1994,0.383934684,111.69914,123.814
Ajoelha,Clementina De Jesus,2005,nan,186.64444,108.321
Always Making Plans,Marte Wulff,2007,nan,225.90649,155.437
All I Ever Wanted (Album),Painkiller Hotel,2007,nan,244.4273,96.985
All Night Long,Muddy Waters,1991,nan,232.4371,65.162
Al Natural (Amended Version),Tego Calderon,2003,0.588403123,213.60281,95.009
All The Colours,Finn Brothers,2004,0.569275651,130.92526,93.063
At Dawn,Unanimated,1994,nan,73.92608,146.175
Action Plus,The Ventures,1966,0.38293509,160.9922,150.339
All That You Are,The Foreign Exchange,2004,0.591161425,273.42322,99.021
As Good As You've Been To This World,Janis Joplin,1969,0.691463017,325.17179,103.993
Another Revolution,A Love Ends Suicide,2006,0.503752061,179.74812,136.733
Act Of Quiet Desperation,Walt Mink,1997,nan,201.06404,94.778
A Rehearsal,The Lesser Birds of Paradise,2006,nan,212.97587,161.27
Above And Beyond,Time Requiem,2002,0.372530039,427.80689,155.069
Ain't misbehavin',Fats Waller,1929,nan,236.66893,91.421
Asleep At A Party,Memory Cassette,2008,0.664648465,255.99955,113.292
All Hell Broke Loose,Charlie Hunter & Bobby Previte,2005,0.323112121,309.99465,122.118
And Sadness Will Sear (Album Version),Trivium,2006,0.675878782,214.54322,168.021
A Lexicon,Burning Airlines,2001,0.478276995,208.14322,103.458
Au Contraire,Julie Doiron,2001,0.569500603,191.16363,56.024
A Sniper's War,James Horner,2001,0.392008771,205.92281,125.083
Angel Of Death,Angel Witch,1980,0.580900874,310.20363,82.827
A Gap In The Stream Of Mind Part Two,At War With Self,2005,0.449634138,465.21424,144.965
Arrival,Cult Of Luna,2003,0.721457369,573.80526,121.359
Azwethinkweiz,Incubus,1997,0.607256095,228.10077,124.21
Amotional Overload,Digital Karma,2001,0,509.98812,144.168
A Lot To Let Go Of,Sarah Johns,2007,0.246865094,191.42485,121.975
A Love Like You,Freddie & The Dreamers,1992,nan,109.7922,146.044
Apes Aping Apes,The Robocop Kraus,2003,nan,182.41261,141.79
Another Kiss,Plastiscines,2009,0.595201954,176.61342,133.999
All Is Mine (LP Version),The Association,1967,nan,196.33587,85.103
Appel local,83,2001,nan,177.03138,97.952
An Answer To Your Silence,Luciana Souza,1998,0,426.762,177.906
As The Rush Comes,Motorcycle,2003,nan,191.60771,135.571
Andrea (alternativer Anfang),Bodo Wartke,2007,nan,49.8673,91.721
Andre Johray,Tim Hardin,1996,0.445454525,170.70975,121.571
Are You Anywhere?,Hopewell,2007,0,219.8722,148.672
Awkward Game,Gabriella Cilmi,2008,0.672400092,207.38567,99.988
A Woman's Touch,Toby Keith,1996,0.549754042,334.94159,135.12
Ay Chona La,Youssou N'Dour,2005,0.310791536,191.37261,103.347
And Then the C.H.U.D.S. Came,Daughters,2003,0.557275763,84.53179,88.599
Angels Or Devils,Dishwalla,2002,nan,243.80036,157.298
Ahora Que Me Dejas,Los Suaves,1994,nan,258.29832,182.961
After All This Time,Modern Romance,2006,nan,237.60934,122.129
About A Planet Crash,Suicide Silence,2005,nan,167.99302,115.134
Ambience,Sean Deason,2000,nan,333.89669,90.011
A Letter To The New York Post,Public Enemy,1991,0.57325442,165.17179,88.457
Alien Corridors,Martin O'Donnell And Michael Salvatori,2002,0.578562291,108.45995,151.658
A Call to the Faithful,Inhale Exhale,2006,0.649913199,230.5824,152.252
American Rivers,Tom Russell,2009,0.394394856,375.74485,105.05
As The Ruin Falls,Thrice,2000,0.700450957,124.3424,95.678
Arild,Åge Aleksandersen,1977,nan,174.70649,79.756
A propos de tass (2° volet),Tout Simplement Noir,1997,nan,284.99546,165.75
Admiral For President,Admiral Freebee,2003,0.493945868,348.57751,131.304
Around The World,Buddy Greco,2002,0.459157901,145.78893,96.728
Amputee Non Gratis,Iron Lung Corp,2002,nan,372.50567,131.973
Acqua,Polmo Polpo,2001,0.488807104,550.73914,120.094
Apple Of My Eye,Ed Harcourt,2001,nan,244.58404,102.546
And I Am Telling You I'm Not Going,Jennifer Holliday,1996,0,245.21098,119.961
Abilene,Blood On The Saddle,1990,0,261.642,80.325
Adios_ Mariquita Linda,Los Indios Tabajaras,1997,0,138.55302,101.783
Aggravated (Live In Houston 7/6/88),Cryptic Slaughter,1987,nan,145.162,177.778
Autodafè,Frankie HI-NRG MC,1997,0.456949544,200.01914,88.012
Apocalyptic Horseman,Pan-Pot,2007,0.38293509,352.67873,160.01
American Life In The Summertime (LP Version),Francis Dunnery,1994,0.277761192,251.74159,72.028
An einem Morgen,Selig,1995,0.447135796,227.05587,87.567
A Call to the Faithful,Inhale Exhale,2006,nan,228.93669,152.329
Alone,Alton Miller,2000,nan,316.86485,120.052
At Loss For Words,Dark Tranquillity,2000,0.714233554,403.93098,156.891
Anna Mun Bailaa,Aikakone,2003,nan,260.88444,135.992
Anxious,The Housemartins,1986,0.734685935,139.72853,183.977
Amor temporero,Marea,2000,0.613196447,237.60934,183.08
Apocalyptic Terror (Album Version),All Out War,1998,0.493730189,557.47873,121.779
And It Stoned Me,Van Morrison,1970,nan,271.43791,67.149
Aquamarine,Novembre,2006,0.590557401,347.24526,135.162
A Day That Fades,Cosmic Gate,2007,0,454.63465,127.988
Arnica,Quinoline Yellow,2005,0.413739836,244.45342,172.04
All I Want,The Cure,1987,nan,211.27791,112.893
A Plague On Both Your Houses,Chris T-T,2005,0.215080319,257.82812,87.882
At The Same Time,The High Strung,2005,nan,272.66567,127.406
Ambition (Live),Alabama Thunderpussy,2003,0.355285536,268.43383,165.624
Angel In The Night,Basshunter,2008,0.485122364,163.83955,127.948
As I Like It,Bennie Moten's Kansas City Orchestra,1990,nan,169.45587,87.348
A Fhleasgaich Oig (O Most Gentle Youth),Talitha Mackenzie,1996,nan,210.442,148.344
Anarchy,Headman,2001,0.334706549,292.0224,119.961
A Ti Todo,Issac Delgado,2001,0.475172636,299.96363,185.068
A Lover Spurned (Full Length Version),Marc Almond,1990,0.54112331,337.60608,120.535
Alienated,Earth Nation,1994,nan,582.45179,141.968
Audio Coke,DL Incognito,2002,0.407901717,187.53261,97.404
Alabama '69,Humble Pie,1969,0.557187768,276.1922,143.791
Ave Maria,Jahn Teigen,1996,nan,154.122,137.677
Addicted,Hotel Persona,2008,0.447784051,228.0224,120.085
Aus Und Vorbei,Maya Saban,2005,nan,223.92118,102.056
Along For The Ride (LP Version),Mates of State,2004,0.558441747,233.35138,218.775
A Little Harp Tune,P.G. Six,2004,nan,87.27465,213.837
African People,Trentemoller,2007,0.534245181,403.40853,83.56
Are You Ready To Fly,Rozalla,1992,0.548961635,235.33669,125.83
A+,Tape Deck Mountain,2009,nan,12.43383,88.451
Annie Get Your Yo-Yo,Little Junior Parker,1961,nan,142.86322,150.146
Always (LP Version),Firefall,1992,0.375984302,227.83955,81.222
Ain't Nothing Like HipHop,Slakah the Beatchild,2008,nan,81.99791,93.986
American Wake,The Elders,2003,0.569275651,257.802,129.927
Another World (Contains Hidden Track 'Being On My Own'),Brian May,1998,0.646151234,449.90649,152.107
All You Need Is Me,Morrissey,2008,0.686900419,191.84281,143.251
A Step Foward (Feat. Johnny Def),Hands On Approach,2006,nan,271.28118,87.974
Amor Plutónico (Album Version),Los Delinqüentes,2003,0.304169503,257.07057,108.04
Again,Kim Leoni,2007,0.310791536,210.23302,139.956
A Prayer For Everyone,Belinda Carlisle,1999,0.460541281,260.98893,115.996
Always,Bent,2000,nan,455.02649,125.009
A Will,Maher Shalal Hash Baz,2004,0.376169925,471.19628,121.937
Am I Winnin' Something,Mike Knott,1996,0.249065795,117.10649,119.776
Are You Ready for the Summer?,Lisa Loeb,2008,0.538566627,81.44934,154.95
Anti-Anti-Christ,GWAR,2001,0.460541281,192.83546,112.193
All The Reasons,Status Quo,1973,0.425124658,220.62975,116.628
Army Dreamers,Kate Bush,1980,0.810148238,178.70322,143.451
A Million Bubbles Burst,Pram,2000,0.419125893,270.91546,89.759
Arrepentios Pecadores,Willie Rosario,1978,nan,271.33342,66.357
Apollo,Alternative TV,1999,0,258.14159,112.817
As I Roved Out,Altan,2005,nan,241.99791,84.749
A Thousand Points Of Light,Dragonland,2002,0.563755208,362.05669,86.505
An Idea About Mary,Wallis Bird,2009,0.515963631,254.85016,171.958
Agua Fiera,Santa Sabina,2000,0.310791536,334.44526,165.98
A Dureza Concreta,Herbert Vianna,1992,nan,180.08771,100.423
Albion Heart,The Albion Band,1999,0,289.41016,121.153
Airbag,Radiohead,1997,nan,284.39465,167.782
A Hack And A Handsaw,A Hawk And A Hacksaw,2003,0.460541281,215.71873,127.117
Aqua Funk (LP Version),Rick Braun,1998,0,274.31138,116.983
Angelito,Aventura,2005,nan,271.17669,88.198
Aquella noche,David deMaria,2006,0,226.16771,127.885
Ashes and Dust,Pulling Teeth,2007,0,22.38649,222.205
Abbasso Lo Zio Tom,Napoli Centrale,1997,0,588.66893,100.394
Ako velmi,Para,2007,nan,197.642,152.067
All Things Considered,The Mighty Mighty Bosstones,2000,0.588677974,244.21832,137.314
A Word In Satan's Ear,New Flesh For Old,1999,nan,110.15791,91.843
Arrímese usted,Vieja Trova Santiaguera,2001,0,119.53587,107.922
All I Want Is You,Jaime Jamgochian,2005,0.334706549,247.37914,95.048
Archive,Total Science,2009,0.654800662,319.60771,86.937
Anything Can Happen,Finn Brothers,2004,0.675696807,184.08444,169.49
Amniótico,Andrea Echeverri,2004,0.433005077,235.72853,169.998
Always A Fool,Kyau & Albert,2006,nan,376.94649,137.544
All Night Long,Alexandra Burke,2009,nan,263.6273,119.974
Agincourt Carol / La Route au Beziers,Silly Sisters,1988,0.432236037,247.01342,156.558
A New Home,Leggo Beast,2000,0.313365891,302.70649,79.849
Askim,Makale,2005,nan,199.3922,130.109
Another Room,Faith Kleppinger,2004,nan,181.65506,83.56
A View Of Burning Empires,Trivium,2003,0.633775485,109.89669,143.54
Amazonico,Johannes Linstead,1999,0.367273416,214.38649,104.987
Alright (Extended),Kris Kross,1993,0.265861049,361.79546,100.076
Angels (Thievery Corporation Remix),Wax Poetic Feat. Norah Jones,2004,0.785358978,287.11138,140.017
Agony Designed,DEW-SCENTED,2003,nan,229.82485,207.631
Alone In Brewster Bay,Minnie Riperton,1975,0.561428518,264.88118,134.182
Always Knocking,Ian Broudie,2004,nan,242.9122,168.023
A Break In The Clouds,The Jayhawks,2000,0.485122364,239.69914,161.698
Alone,Ween,1991,0.515963631,191.89506,106.991
And So To F...,Brand X,2003,0.460484845,388.54485,149.014
Ain't Gonna Give It Away,Lil Johnson,1995,nan,166.24281,123.883
Alle_ nur ich nicht,Frittenbude,2010,0.57040594,166.37342,139.792
All Night Long,Alexandra Burke Feat. Pitbull,2009,0.720349559,228.5971,119.978
A-Drenv Va Zi,Denez Prigent,2000,nan,254.48444,160.139
A Year and a Day,Belbury Poly,2009,0.521418342,295.99302,135.026
Alafia,Poncho Sanchez,2002,nan,353.41016,198.519
Afraid To Fly,Taxiride,2002,0.265861049,216.5024,98.516
Available,Moving Units,2004,nan,249.12934,78.195
All These People,Harry Connick_ Jr. featuring Kim Burrell,2007,0.407233015,252.52526,158.141
Al pie de la montaña,Lola Beltrán,2006,0,141.37424,126.131
Amnesia,Shalamar,2008,0.405115722,255.9473,160.087
Ahora Si,El Chicano,2003,nan,239.41179,123.175
A Day At The Beach,Andrew Dice Clay,1994,0.570568777,107.57179,81.491
Absurd (Soul Of Man Mix),Fluke,2001,0.481694147,456.12363,102.403
An Alle,Sabrina Setlur,2003,nan,279.92771,101.14
Abdul Jabar Cut,Kid Rock,1990,0.407233015,268.45995,88.019
As Dust Dances (contains bonus hidden track '2/15ths'),Biffy Clyro,2007,0.757422499,262.81751,114.054
Afrika Shox,Leftfield;Afrika Bambaataa,1999,0.659304669,336.74404,129.996
At Our Expense,Against All Authority,1998,0.50111684,135.10485,182.529
A Strange Romance,Chick Corea / Béla Fleck,2007,nan,281.99138,57.177
Alla Har Glömt,[ingenting],2004,0.468997788,120.89424,122.197
Acidlab,One t,2002,0.492131323,277.002,130.028
Amor De Hecho,Falete,2006,0.266955186,232.17587,169.952
Afrikka Siipien Alla,TOMMI LÄNTINEN,1995,0.323112121,293.09342,117.994
Alter Eagle,Of Montreal,2008,0.531983193,158.06649,66.021
Ahir Bhairav,Siena Root,2009,0.499098881,224.39138,124.015
Amor Eterno,Shaila Dúrcal,2007,nan,310.02077,163.598
A Winters Tale,Smokie,1996,0.474882706,255.97342,98.004
Access Denied (featuring Tech N9ne & King Gordy),Project Deadman,2004,0.446635814,229.77261,187.969
A Lonely Voice,Gregory Douglass,2006,0,274.85995,108.138
Animator,Pull Tiger Tail,2006,0.563246899,210.9122,153.593
Armageddon Appetite,Rez Band,1984,nan,90.38322,125.605
All My Friends,Land Of Talk,2006,0.683479169,241.94567,141.883
American Patrol,The Glenn Miller Orchestra,1994,nan,203.98975,89.849
Acoustic Piece ('93 Promo),In Flames,1994,0.701124286,38.55628,145.884
All Night Dance Parties In The Underground Palace (album),Alesana,2008,0.776203761,197.69424,156.128
All You've Got To Do (LP Version),RODNEY CROWELL,1981,0.24592191,214.15138,120.102
Again (Darren Emerson Bonus Beatz),Pnau,2003,nan,462.05342,130.028
All This Love That I'm Giving,Gwen McCrae,1996,0.676548906,233.45587,112.431
Away From The Numbers,The Jam,1977,nan,209.65832,161.822
A Decade Under The Influence (Album Version),Taking Back Sunday,2004,0.788215673,247.77098,156.009
A Satisfied Mind,Porter Wagner,1990,0.318144862,165.09342,119.722
Afrikya,Dub Incorporation,2008,nan,285.33506,116.996
Afscheidslied,Frédérique Spigt,2008,0.270775999,275.61751,75.601
Ascension,Tilman Sillescu,2008,0.270775999,138.47465,141.39
Ana,Fantasma #3,2006,nan,183.01342,63.417
A Letter From iMP,Mechanical Poet,2007,nan,193.2273,31.368
Acts Of Vengence,Vakill,2006,nan,185.67791,176.125
Ain't Nothing You Can Do,Latimore,1974,nan,171.17995,121.769
Astral Experience,Afgin,2009,0.392008771,669.3873,141.986
"About ""Whole World Around",Daniel Powter,2008,nan,77.40036,81.83
Anything [Featuring Next] (Album Version),Jaheim,2001,0.728201218,287.242,105.716
A Lover's Prayer,Dion & The Belmonts,1985,nan,137.27302,143.762
Auditorium,Mos Def / Slick Rick,2009,0.875042574,274.442,93.183
Ah Si Mon Moine,The Mediaeval Baebes,1997,nan,138.73587,131.057
Angel Of Death,Thin Lizzy,1981,nan,377.20771,142.534
Ain't It Fun,Rollins Band,2001,0.328220577,347.19302,107.12
Are You Going To Suffer It,Something Happens,1992,0,149.9424,150.154
At The End Of The Day,Yonder Mountain String Band,1999,0.708833844,278.93506,117.324
A Ras De Mí,Alado Sincera,2007,nan,245.28934,37.621
Angel,Think About Mutation,1999,0.340922756,215.40526,100.124
Androids,De/Vision,2010,nan,229.40689,125.001
All Else Is Hollow,Poisonblack,2003,0.63970096,239.67302,120.099
A Heavy Hearted Work Of Staggering Genius,Anberlin,2005,0.656889456,74.1873,105.362
Advance Factory Units,Resistance 77,2008,0.379523324,214.36036,175.783
Actuar Para Vivir,Juan Carlos Baglietto,1982,nan,243.12118,128.769
Amy's Song,Switchfoot,1999,nan,270.18404,147.969
A Thinly Veiled Excuse for Something More,Hood,1994,0.458288207,87.84934,112.304
All Or Nothing,Dirty Vegas,2002,nan,295.8624,100.014
A Lotta What You Got,Dana Gillespie,1990,0,172.93016,104.182
Angel,Lionel Richie,2000,nan,416.83546,127.973
Azul,Bebel Gilberto,2007,0.596840704,189.75302,123.977
A Star,The Five Crowns,1995,0,176.69179,133.088
Ancient Questions (War & Peace),Bob Neuwirth,1990,0,473.57342,103.552
A Place To Stay,Jenny Silver,2010,0.544199522,175.82975,122.965
Addicted,Alice In Videoland,2003,0.573019828,152.97261,149.993
A Tale From The Old Fields,Wolfchant,2005,0.241687881,129.54077,126.144
Aqualung,Deviated Instinct,1989,0.38293509,231.91465,95.564
Are You Coming Home Tonight?,James Yorkston,2007,0.246865094,174.78485,115.64
Avec Le Sourire,Maurice Chevalier,1999,0,164.54485,83.978
Affliction,Decoded Feedback,2010,0.485761153,377.49506,128.988
Admit One,Chris T-T,2005,0.215080319,135.88853,130.116
Aisha,McCoy Tyner,2000,0,428.45995,80.191
As The Rush Comes (Armin Van Buuren's Universal Religion Remix),Motorcycle,2003,0.764373878,591.51628,135.01
Angels We Have Heard On High,Alex de Grassi,2003,0.499020315,257.85424,74.373
At the end of the rainbow,HAMMERFALL,1998,nan,246.02077,183.999
Adieu Adieu,The Watersons,1993,nan,202.37016,53.337
Alla kahden auringon,Movetron,1997,nan,296.80281,130.04
A Constant Reminder,It Dies Today,2006,nan,211.01669,191.539
As You Wish (Previously Unreleased),Damien Jurado,1998,0,143.93424,125.046
All Clear,Djam Karet,2002,0.349166902,511.42485,86.825
Antypatia,3 Channels,2006,nan,498.442,126.011
Always Is A Place  (Watashi Wa Album Version),Watashi Wa,2003,0.384143261,167.26159,168.116
Adorable,Artist Vs Poet,2010,0.77542895,212.13995,86.979
All Over Me,Becky Baeling,2003,0.265861049,223.9473,83.99
Academy Award,The Dismemberment Plan,1997,0.587102737,146.54649,193.137
Aldi,Vicki Vomit,2005,nan,162.87302,198.102
As the Sun Turns to Ash,Goatwhore,2003,0.536032112,201.56036,78.55
Antena,A Naifa,2006,0.5214376,192.65261,119.963
Also Sprach Zarathustra,Deodato,1995,0.723678998,541.70077,201.972
Acid Jazz Singer,The Fratellis,2008,0.671002865,261.61587,121.034
Angels [Live Audio],Within Temptation,2008,0.355285536,241.6322,91.132
